운영기관ID,name,대표자명,전화번호
O0001,삼성서울병원,서상원,02-568-4203
O0002,강동성심병원,김여진,02-489-1130
O0003,고려대학교의료원 안암병원,이찬녕,02-991-9832
O0004,이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943
O0005,서울특별시 관악구보건소,최정화,02-879-4910
O0006,건국대학교병원,문연실,02-450-1381
O0007,고려대학교 구로병원,,02-2612-7041
O0008,인제대학교 상계백병원 위탁,이순형,02-911-7778
O0009,서울노보스병원,오승용,02-955-3591
O0010,경희의료원,강원섭,02-957-3062
O0011,서울특별시 보라매병원,이재협,02-598-6088
O0012,가톨릭대학교서울성모병원,양동원,02-3272-1578
O0013,서대문구 치매안심센터,김어수,02-379-0183
O0014,서울특별시 서울의료원,김희진,02-499-8071
O0015,송파구보건소,이영숙,02-2147-5050
O0016,이화의대부속 목동병원,유경하,02-2698-8680
O0017,한림대학교 강남성심병원,정산,02-831-0855
O0018,순천향대학교 서울병원,서교일,02-790-1541
O0019,가톨릭대학교 은평성모병원,임은예,02-388-8233
O0020,서울대학교병원,박지은,02-3675-9001
O0021,국립중앙의료원,,02-2238-3400
O0022,서울북부병원,이용주,02-435-7540
O0023,부산광역시 강서구청,천동환,051-970-2600
O0024,부산광역시 금정구보건소,엄지안,051-519-5678
O0025,기장군보건소,최병무,051-709-2983
O0026,남구보건소치매안심센터,센터장 윤민우,051-607-3781
O0027,부산광역시 동구보건소,이정원,051-440-6443
O0028,부산광역시 동래구보건소,정규석,051-555-6767
O0029,부산광역시 부산진구청,김영욱,051-605-6107
O0030,북구보건소,김유정,051-309-5281
O0031,부산광역시 사상구보건소,이정민,051-310-3362
O0032,부산광역시 사하구보건소,박승아,051-220-5987
O0033,동아대학교병원,안희배,051-240-2560
O0034,부산광역시 수영구보건소,박병건,051-752-4000
O0035,연제구보건소,신승건,051-665-5481
O0036,영도구보건소,박성률,051-419-4935
O0037,부산광역시 중구보건소,송교필,051-600-4688
O0038,해운대구보건소,안여현,051-749-0770
O0039,대구광역시 남구보건소,이명자,053-664-3694
O0040,달서구보건소 (직영),이완회,053-667-5780
O0041,달성군보건소,권선영,053-668-3841
O0042,대구동구보건소,정재헌,053-662-3175
O0043,대구북구보건소,이영숙,053-665-3135
O0044,대구광역시 서구청,,053-663-3811
O0045,수성구보건소,여수환,053-666-3181
O0046,대구광역시중구보건소,황석선,053-661-3911
O0047,군위군보건소,윤영국,054-380-7491
O0048,인천광역시 강화군보건소,이은경,032-930-4057
O0049,계양구보건소,이미숙,032-430-7867
O0050,인천광역시 미추홀구보건소,차남희,032-728-6520
O0051,남동구보건소,,032-453-5910
O0052,인천광역시 동구보건소,임미숙,032-772-6307
O0053,인천광역시 부평구보건소,김윤자,032-509-1300
O0054,인천광역시 서구보건소,장준영,032-718-0630
O0055,인천광역시 연수구 보건소,강길원,032-749-8934
O0056,인천광역시 옹진군보건소,박혜련,032-899-3670
O0057,인천광역시 중구보건소,정한숙,032-760-6063
O0058,광주광역시 광산구보건소,김옥현,062-960-6930
O0059,광주광역시 남구 보건소,,062-607-4361
O0060,광주광역시 동구보건소,심옥선,062-608-3490
O0061,광주광역시 북구 보건소,김은숙,062-410-8124
O0062,광주광역시 서구 치매안심센터,이원구,062-350-4759
O0063,대전광역시 대덕구보건소,이석우,042-608-5426
O0064,동구 보건소,안옥,042-621-6011
O0065,서구보건소,박경용,042-288-4470
O0066,유성구보건소,김주연,042-611-5018
O0067,중구보건소,구기희,042-288-8180
O0068,남구보건소,공석,052-226-2323
O0069,울산광역시 동구보건소,박수환,052-209-4060
O0070,울산광역시 북구보건소,신수진,052-241-8257
O0071,울산광역시 중구보건소,이현주,052-290-4290
O0072,충남대학교병원,김정란,044-867-2851
O0073,가평군보건소,장우진,031-580-2849
O0074,과천시보건소,류정현,02-2150-3596
O0075,광명시치매안심센터,이현숙,02-2680-5830
O0076,광주시보건소,조정호,031-760-8719
O0077,경기도 구리시보건소,김은주,031-550-8313
O0078,군포시보건소,,031-389-4988
O0079,김포시 치매안심센터,구영미,031-5186-4169
O0080,남양주보건소,정태식,031-590-8700
O0081,동두천시 보건소,전명옥,031-860-3395
O0082,시흥시보건소,이형정,031-310-5857
O0083,안성시 보건소,신형진,031-678-3002
O0084,양주시보건소,김정은,031-8082-7147
O0085,양평군보건소,배명석,031-771-5773
O0086,경기도 여주시보건소,,031-887-3685
O0087,연천군보건의료원,윤승원,031-839-4165
O0088,오산시보건소,김태숙,031-8036-6633
O0089,의왕시보건소,임인동,031-345-3851
O0090,의정부시 보건소,장연국,031-870-6202
O0091,이천시 보건소,한미연,031-6190-7211
O0092,파주시보건소,이한상,031-940-3740
O0093,경기도 평택시청 평택보건소,,031-8024-4399
O0094,경기도 포천시보건소,포천시보건소장,031-538-4831
O0095,하남시 치매안심센터,박강용,031-790-6254
O0096,경기도 화성시 서부보건소,곽매헌,031-5189-1080
O0097,강릉시 보건소,,033-660-3048
O0098,강원특별자치도 고성군보건소,김선미,033-680-3798
O0099,동해시치매안심센터,심재희,033-530-2426
O0100,강원특별자치도 삼척시 보건소,이희숙,033-570-4327
O0101,강원특별자치도 속초시 보건소,이상현,033-639-2071
O0102,강원특별자치도 양구군 치매안심센터,주혜란,033-480-2823
O0103,양양군 보건소,신승주,033-670-2496
O0104,강원특별자치도 영월군 보건소,호희남,033-370-5441
O0105,원주시보건소(치매안심과),임영옥,033-737-4541
O0106,인제군 보건소,허준용,033-460-2523
O0107,정선군보건소,신애정,033-560-2565
O0108,철원군보건소,보건소장,033-450-5105
O0109,강원특별자치도 춘천시 보건소,손은진,033-250-4004
O0110,태백시보건소,안상헌,033-550-3042
O0111,평창군보건의료원,평창군수,033-330-4900
O0112,홍천군보건소,원은숙,033-430-4055
O0113,화천군 보건의료원,이재성,033-440-2809
O0114,횡성군보건소,김영대,033-340-5653
O0115,괴산군치매안심센터,김미경,043-830-2392
O0116,충청북도 단양군 보건소,임은주,043-420-3201
O0117,보은군치매안심센터,홍종란,043-540-5642
O0118,영동군보건소,박한석,043-740-5941
O0119,옥천군치매안심센터,박성희,043-730-2158
O0120,음성군보건소,구미숙,043-871-2971
O0121,제천시보건소,안순덕,043-641-3058
O0122,충청북도 증평군 보건소,조미정,043-835-4782
O0123,충청북도 진천군,허선미,043-539-7782
O0124,충주시보건소,정상구,043-850-1780
O0125,계룡시보건소,임방원,042-840-3681
O0126,공주시보건소,공주시보건소장(김기남),041-840-3315
O0127,금산군보건소,채기주,041-750-4460
O0128,논산시보건소,김배현,041-746-6921
O0129,당진시보건소,,041-360-6269
O0130,충청남도 보령시,전경희,041-930-6871
O0131,충청남도 부여군보건소,,041-830-8727
O0132,충청남도 서산시,,041-661-6571
O0133,서천군보건소,나성구,041-950-6741
O0134,충청남도 아산시,최원경,041-537-3474
O0135,예산군보건소,최승묵,041-339-6140
O0136,청양군보건의료원,김상경,041-940-4500
O0137,태안군보건의료원,조수현,041-671-1632
O0138,충청남도 홍성군 보건소,김정식,041-630-9076
O0139,고창군보건소,유병수,063-560-8725
O0140,군산시보건소,,063-454-5870
O0141,전북특별자치도 김제시 보건소,김정아,063-547-4000
O0142,남원시보건소,한용재,063-620-7725
O0143,무주군보건의료원,홍찬표,063-320-8601
O0144,부안군 보건소,박찬병,063-580-3066
O0145,전라북도 순창군 보건의료원,정영곤,063-650-5247
O0146,전북특별자치도 완주군보건소,,063-290-3188
O0147,익산시보건소(보건사업과),이진윤,063-859-7550
O0148,임실군치매안심센터,김대곤,063-640-3371
O0149,전북특별자치도 장수군 치매안심센터,노승무,063-350-2670
O0150,전주시보건소,김신선,063-281-6291
O0151,정읍시 보건소,손희경,063-539-6942
O0152,진안군보건소,,063-430-8582
O0153,전라남도 강진군,서현미,061-430-5294
O0154,전라남도 고흥군,박준희,061-830-6969
O0155,전라남도 곡성군,임인동,061-360-8980
O0156,광양시보건소,양준석,061-797-4059
O0157,전라남도 구례군,김윤길,061-780-2026
O0158,나주시,강동렬,061-339-4772
O0159,전라남도 담양군,김동진,061-380-2971
O0160,전라남도 목포시,김경희,061-270-4271
O0161,무안군보건소,김성철,061-450-5075
O0162,전라남도 보성군,김학성,061-850-8695
O0163,전라남도 순천시,채연석,061-749-8888
O0164,전라남도 신안군,박용재,061-243-8081
O0165,여수시 보건소,,061-659-5440
O0166,영광군보건소,지경현,061-350-4806
O0167,전라남도 영암군,최문형,061-470-6030
O0168,전라남도 완도군,한광일,061-550-5810
O0169,장성군보건소,박보서,061-390-7164
O0170,전라남도 장흥군,박옥란,061-860-6498
O0171,전라남도 진도군,조기주,061-540-6964
O0172,전라남도 함평군,심화섭,061-320-2390
O0173,해남군치매안심센터,임명란,061-531-3704
O0174,화순군보건소,,061-379-5317
O0175,경산시보건소,안병숙,053-810-6435
O0176,동국대병원,곽경필,054-777-6400
O0177,고령군보건소,한혜연,054-950-7961
O0178,김천시치매안심센터,황훈정,054-421-2960
O0179,경상북도 문경시 보건소,박애주,054-555-2033
O0180,봉화군 보건소,배재정,054-679-6791
O0181,상주시보건소,이건희,054-537-6514
O0182,성주군보건소,,054-930-8187
O0183,안동시 치매안심센터,김경숙,054-840-5789
O0184,영덕군치매안심센터,김재희,054-730-7177
O0185,영양군보건소,장여진,054-680-5126
O0186,영주시치매안심센터,,054-639-5733
O0187,영천시보건소,박선희,054-339-7845
O0188,예천군보건소,안남기,054-650-8100
O0189,울릉군보건의료원,김영헌,054-790-6827
O0190,울진군보건소 치매안심센터,정대교,054-789-5025
